B_index,B_id,Latitude,Longitude,Start_time,End_time,Tags,B_Size,Influence,Zone,Cost
29,432995,34.034443,-118.264257,1:16,1:17,Science Museum,403,0.599702381,0,0.063178424
30,432995,34.034443,-118.264257,1:25,1:26,Gluten-free Restaurant,276,0.410714286,0,0.041340099
31,432995,34.034443,-118.264257,1:27,1:28,Hardware Store,670,0.99702381,0,0.100384209
32,432995,34.034443,-118.264257,1:28,1:29,Sushi Restaurant,580,0.863095238,0,0.085860502
33,432995,34.034443,-118.264257,1:31,1:32,Filipino Restaurant,667,0.992559524,0,0.098859599
34,432995,34.034443,-118.264257,1:33,1:34,Home (private),243,0.723214286,0,0.068676852
35,432995,34.034443,-118.264257,1:35,1:36,Internet Cafe,411,1.223214286,0,0.122723889
36,432995,34.034443,-118.264257,1:36,1:37,Theater,135,0.200892857,0,0.021543076
37,432995,34.034443,-118.264257,1:43,1:44,Shrine,333,0.495535714,0,0.046594203
38,432995,34.034443,-118.264257,1:44,1:45,General College & University,313,0.46577381,0,0.046563107
39,432995,34.034443,-118.264257,1:45,1:46,Turkish Restaurant,540,0.803571429,0,0.076978499
40,432995,34.034443,-118.264257,1:48,1:49,Antique Shop,369,0.549107143,0,0.049633665
41,432995,34.034443,-118.264257,1:50,1:51,Wings Joint,188,0.279761905,0,0.02985158
42,432995,34.034443,-118.264257,1:51,1:52,Moving Target,503,0.748511905,0,0.067842754
43,432995,34.034443,-118.264257,1:52,1:53,Caribbean Restaurant,117,0.174107143,0,0.016683174
44,432995,34.034443,-118.264257,1:55,1:56,High School,627,0.933035714,0,0.085227884
45,432995,34.034443,-118.264257,2:01,2:02,Zoo,274,0.407738095,0,0.042572392
46,432995,34.034443,-118.264257,2:02,2:03,Thai Restaurant,620,0.922619048,0,0.086771705
47,432995,34.034443,-118.264257,2:06,2:07,Café,197,0.293154762,0,0.02890994
48,432995,34.034443,-118.264257,2:07,2:08,Rest Area,164,0.244047619,0,0.02627342
49,432995,34.034443,-118.264257,2:08,2:09,Brazilian Restaurant,433,0.644345238,0,0.067090333
50,432995,34.034443,-118.264257,2:09,2:10,Historic Site,666,1.982142857,0,0.188324503
51,432995,34.034443,-118.264257,2:10,2:11,Furniture / Home Store,144,0.214285714,0,0.023545191
52,432995,34.034443,-118.264257,2:12,2:13,Rental Car Location,328,0.488095238,0,0.048279795
53,432995,34.034443,-118.264257,2:16,2:17,Brazilian Restaurant,270,0.401785714,0,0.036848559
54,432995,34.034443,-118.264257,2:20,2:21,South American Restaurant,671,0.998511905,0,0.098456891
55,432995,34.034443,-118.264257,2:23,2:24,Bowling Alley,628,0.93452381,0,0.096772765
56,432995,34.034443,-118.264257,2:25,2:26,Cupcake Shop,559,0.831845238,0,0.0777272
57,432995,34.034443,-118.264257,2:27,2:28,Recycling Facility,662,0.985119048,0,0.096017524
58,432995,34.034443,-118.264257,2:28,2:29,Dim Sum Restaurant,481,0.71577381,0,0.073375287
59,432995,34.034443,-118.264257,2:35,2:36,Casino,571,0.849702381,0,0.089557104
60,432995,34.034443,-118.264257,2:36,2:37,Middle School,616,0.916666667,0,0.097270248
61,432995,34.034443,-118.264257,2:37,2:38,Miscellaneous Shop,403,0.599702381,0,0.056213454
62,432995,34.034443,-118.264257,2:38,2:39,Community College,614,0.913690476,0,0.100231043
63,432995,34.034443,-118.264257,2:39,2:40,Bookstore,519,0.772321429,0,0.079033051
64,432995,34.034443,-118.264257,2:40,2:41,Event Space,390,1.160714286,0,0.116164845
65,432995,34.034443,-118.264257,2:43,2:44,Market,184,0.547619048,0,0.051631277
66,432995,34.034443,-118.264257,2:45,2:46,Diner,625,2.790178571,0,0.287995715
67,432995,34.034443,-118.264257,2:49,2:50,Convention Center,416,1.857142857,0,0.1707843
68,432995,34.034443,-118.264257,2:52,2:53,Filipino Restaurant,492,1.464285714,0,0.13320225
69,432995,34.034443,-118.264257,2:55,2:56,Rest Area,254,0.37797619,0,0.036400269
70,432995,34.034443,-118.264257,2:57,2:58,Hot Dog Joint,400,0.595238095,0,0.056532418
71,432995,34.034443,-118.264257,2:58,2:59,Car Dealership,658,0.979166667,0,0.089421417
72,432995,34.034443,-118.264257,2:59,3:00,Concert Hall,272,0.404761905,0,0.037750172
73,432995,34.034443,-118.264257,3:00,3:01,Other Great Outdoors,188,0.279761905,0,0.026123586
74,432995,34.034443,-118.264257,3:04,3:05,Ski Area,182,1.083333333,0,0.09787598
75,432995,34.034443,-118.264257,3:05,3:06,Burger Joint,123,0.366071429,0,0.03467755
76,432995,34.034443,-118.264257,3:07,3:08,Pet Service,457,0.680059524,0,0.069772091
77,432995,34.034443,-118.264257,3:08,3:09,Gift Shop,300,0.446428571,0,0.041018517
78,432995,34.034443,-118.264257,3:10,3:11,Funeral Home,549,0.816964286,0,0.080671006
79,432995,34.034443,-118.264257,3:12,3:13,Synagogue,176,1.30952381,0,0.133353254
80,432995,34.034443,-118.264257,3:17,3:18,Tattoo Parlor,284,0.422619048,0,0.043747014
81,432995,34.034443,-118.264257,3:24,3:25,Vietnamese Restaurant,549,1.633928571,0,0.159674738
82,432995,34.034443,-118.264257,3:25,3:26,Other Great Outdoors,656,0.976190476,0,0.090889349
83,432995,34.034443,-118.264257,3:28,3:29,Food,190,0.282738095,0,0.027570633
84,432995,34.034443,-118.264257,3:30,3:31,Flea Market,170,0.505952381,0,0.05335979
85,432995,34.034443,-118.264257,3:32,3:33,Concert Hall,481,0.71577381,0,0.077015102
86,432995,34.034443,-118.264257,3:33,3:34,Molecular Gastronomy Restaurant,588,0.875,0,0.087039478
87,432995,34.034443,-118.264257,3:35,3:36,Peruvian Restaurant,453,0.674107143,0,0.072611729
88,432995,34.034443,-118.264257,3:39,3:40,Latin American Restaurant,588,0.875,0,0.086808201
89,432995,34.034443,-118.264257,3:40,3:41,Home (private),476,0.708333333,0,0.074602055
90,432995,34.034443,-118.264257,3:43,3:44,Steakhouse,309,0.459821429,0,0.043191044
91,432995,34.034443,-118.264257,3:51,3:52,Department Store,417,0.620535714,0,0.065258162
92,432995,34.034443,-118.264257,3:52,3:53,Fair,576,0.857142857,0,0.079305185
93,432995,34.034443,-118.264257,3:53,3:54,Board Shop,88,0.130952381,0,0.01408121
94,432995,34.034443,-118.264257,3:55,3:56,Financial or Legal Service,289,0.430059524,0,0.045080228
95,432995,34.034443,-118.264257,3:56,3:57,Music Store,572,0.851190476,0,0.090295256
96,432995,34.034443,-118.264257,3:57,3:58,Bridge,365,1.086309524,0,0.10158017
97,432995,34.034443,-118.264257,3:59,4:00,Medical School,261,0.776785714,0,0.079800758
98,432995,34.034443,-118.264257,4:00,4:01,Pet Store,168,0.25,0,0.025259059
99,432995,34.034443,-118.264257,4:10,4:11,Arepa Restaurant,671,0.998511905,0,0.10637845
100,432995,34.034443,-118.264257,4:11,4:12,Embassy / Consulate,603,0.897321429,0,0.090182466
101,432995,34.034443,-118.264257,4:14,4:15,Planetarium,578,0.860119048,0,0.088645602
102,432995,34.034443,-118.264257,4:15,4:16,Photography Lab,93,0.138392857,0,0.015054701
103,432995,34.034443,-118.264257,4:20,4:21,School,484,0.720238095,0,0.072803284
104,432995,34.034443,-118.264257,4:24,4:25,Scenic Lookout,653,0.97172619,0,0.087887312
105,432995,34.034443,-118.264257,4:26,4:27,Stadium,410,0.610119048,0,0.061472277
106,432995,34.034443,-118.264257,4:27,4:28,Australian Restaurant,323,0.480654762,0,0.045834604
107,432995,34.034443,-118.264257,4:29,4:30,Electronics Store,108,0.321428571,0,0.031620962
108,432995,34.034443,-118.264257,4:33,4:34,Vegetarian / Vegan Restaurant,570,1.696428571,0,0.161393218
109,432995,34.034443,-118.264257,4:36,4:37,Toy / Game Store,643,0.956845238,0,0.092767215
110,432995,34.034443,-118.264257,4:37,4:38,Newsstand,379,0.563988095,0,0.052859803
111,432995,34.034443,-118.264257,4:39,4:40,Automotive Shop,650,0.967261905,0,0.09425677
112,432995,34.034443,-118.264257,4:53,4:54,Falafel Restaurant,533,0.793154762,0,0.08415002
113,432995,34.034443,-118.264257,4:55,4:56,Zoo,401,1.193452381,0,0.111194498
114,432995,34.034443,-118.264257,4:56,4:57,Sporting Goods Shop,165,0.245535714,0,0.025423298
115,432995,34.034443,-118.264257,4:57,4:58,Miscellaneous Shop,414,1.232142857,0,0.117189893
116,432995,34.034443,-118.264257,4:58,4:59,Latin American Restaurant,371,0.552083333,0,0.053082519
117,432995,34.034443,-118.264257,4:59,5:00,Food,103,0.459821429,0,0.04909701
118,432995,34.034443,-118.264257,5:08,5:09,Australian Restaurant,133,0.197916667,0,0.018724524
119,432995,34.034443,-118.264257,5:09,5:10,Ferry,129,0.191964286,0,0.018498268
120,432995,34.034443,-118.264257,5:12,5:13,Electronics Store,338,0.50297619,0,0.047537732
121,432995,34.034443,-118.264257,5:13,5:14,Planetarium,559,0.831845238,0,0.084305777
122,432995,34.034443,-118.264257,5:16,5:17,Food & Drink Shop,237,0.705357143,0,0.064881877
123,432995,34.034443,-118.264257,5:18,5:19,Plaza,502,0.74702381,0,0.073870992
124,432995,34.034443,-118.264257,5:19,5:20,Vegetarian / Vegan Restaurant,213,0.316964286,0,0.032054664
125,432995,34.034443,-118.264257,5:20,5:21,Convention Center,570,2.544642857,0,0.26075966
126,432995,34.034443,-118.264257,5:26,5:27,Train Station,340,0.505952381,0,0.047807296
127,432995,34.034443,-118.264257,5:28,5:29,Bar,656,0.976190476,0,0.103689333
128,432995,34.034443,-118.264257,5:31,5:32,Gastropub,497,0.739583333,0,0.073366618
129,432995,34.034443,-118.264257,5:32,5:33,Newsstand,316,0.470238095,0,0.047597001
130,432995,34.034443,-118.264257,5:36,5:37,Antique Shop,645,1.919642857,0,0.203942575
131,432995,34.034443,-118.264257,5:40,5:41,Toy / Game Store,138,0.410714286,0,0.042678749
132,432995,34.034443,-118.264257,5:46,5:47,American Restaurant,640,0.952380952,0,0.092026454
133,432995,34.034443,-118.264257,5:49,5:50,Bike Shop,463,1.37797619,0,0.130095101
134,432995,34.034443,-118.264257,5:52,5:53,Planetarium,506,0.75297619,0,0.078586438
135,432995,34.034443,-118.264257,5:53,5:54,South American Restaurant,344,0.511904762,0,0.049926549
136,432995,34.034443,-118.264257,6:02,6:03,American Restaurant,553,0.822916667,0,0.077572778
137,432995,34.034443,-118.264257,6:03,6:04,Thai Restaurant,176,0.261904762,0,0.023780635
138,432995,34.034443,-118.264257,6:10,6:11,Other Nightlife,238,0.354166667,0,0.037299194
139,432995,34.034443,-118.264257,6:15,6:16,Road,383,0.569940476,0,0.059856301
140,432995,34.034443,-118.264257,6:16,6:17,University,650,0.967261905,0,0.100244383
141,432995,34.034443,-118.264257,6:26,6:27,Bike Rental / Bike Share,626,0.931547619,0,0.091109908
142,432995,34.034443,-118.264257,6:30,6:31,Afghan Restaurant,145,0.21577381,0,0.020404476
143,432995,34.034443,-118.264257,6:33,6:34,Concert Hall,370,0.550595238,0,0.050191887
144,432995,34.034443,-118.264257,6:34,6:35,College Theater,553,0.822916667,0,0.080274094
145,432995,34.034443,-118.264257,6:36,6:37,Taco Place,418,0.62202381,0,0.064983577
146,432995,34.034443,-118.264257,6:43,6:44,Salad Place,411,1.223214286,0,0.121090273
147,432995,34.034443,-118.264257,6:47,6:48,Malaysian Restaurant,141,0.419642857,0,0.041631586
148,432995,34.034443,-118.264257,6:48,6:49,Turkish Restaurant,98,0.145833333,0,0.013960488
149,432995,34.034443,-118.264257,6:50,6:51,Dessert Shop,196,0.291666667,0,0.026948494
150,432995,34.034443,-118.264257,6:51,6:52,Bakery,445,0.662202381,0,0.066410331
151,432995,34.034443,-118.264257,6:54,6:55,Gluten-free Restaurant,153,0.227678571,0,0.021482752
152,432995,34.034443,-118.264257,6:55,6:56,Outdoors & Recreation,318,0.473214286,0,0.044498069
153,432995,34.034443,-118.264257,6:56,6:57,Flea Market,329,0.489583333,0,0.045771424
154,432995,34.034443,-118.264257,7:02,7:03,Arts & Entertainment,440,1.30952381,0,0.131244766
155,432995,34.034443,-118.264257,7:03,7:04,Snack Place,460,0.68452381,0,0.068421344
156,432995,34.034443,-118.264257,7:06,7:07,Pool Hall,383,0.569940476,0,0.053486132
157,432995,34.034443,-118.264257,7:11,7:12,Community College,398,1.18452381,0,0.121459236
158,432995,34.034443,-118.264257,7:15,7:16,Cuban Restaurant,483,0.71875,0,0.075995406
159,432995,34.034443,-118.264257,7:16,7:17,Law School,643,0.956845238,0,0.095828863
160,432995,34.034443,-118.264257,7:19,7:20,Casino,350,0.520833333,0,0.052486612
161,432995,34.034443,-118.264257,7:23,7:24,Greek Restaurant,273,0.40625,0,0.036883221
162,432995,34.034443,-118.264257,7:25,7:26,Gaming Cafe,239,0.355654762,0,0.037157826
163,432995,34.034443,-118.264257,7:30,7:31,Snack Place,620,1.845238095,0,0.194887708
164,432995,34.034443,-118.264257,7:31,7:32,School,407,0.605654762,0,0.06027719
165,432995,34.034443,-118.264257,7:35,7:36,Snack Place,252,0.375,0,0.034252044
166,432995,34.034443,-118.264257,7:36,7:37,Art Museum,259,0.770833333,0,0.076290464
167,432995,34.034443,-118.264257,7:38,7:39,Tapas Restaurant,430,0.639880952,0,0.064143006
168,432995,34.034443,-118.264257,7:40,7:41,Cemetery,575,0.855654762,0,0.085127233
169,432995,34.034443,-118.264257,7:42,7:43,Rest Area,281,0.418154762,0,0.03798057
170,432995,34.034443,-118.264257,7:48,7:49,Japanese Restaurant,179,0.799107143,0,0.084013003
171,432995,34.034443,-118.264257,7:49,7:50,Asian Restaurant,202,0.300595238,0,0.029018653
172,432995,34.034443,-118.264257,7:53,7:54,Dim Sum Restaurant,454,0.675595238,0,0.071028371
173,432995,34.034443,-118.264257,8:00,8:01,Seafood Restaurant,359,1.068452381,0,0.103022066
174,432995,34.034443,-118.264257,8:02,8:03,Cemetery,659,0.980654762,0,0.097421174
175,432995,34.034443,-118.264257,8:07,8:08,Tattoo Parlor,663,0.986607143,0,0.103818644
176,432995,34.034443,-118.264257,8:09,8:10,Bike Shop,456,0.678571429,0,0.072347397
177,432995,34.034443,-118.264257,8:11,8:12,Medical School,283,0.421130952,0,0.044236327
178,432995,34.034443,-118.264257,8:13,8:14,Building,221,0.328869048,0,0.032613737
179,432995,34.034443,-118.264257,8:15,8:16,Miscellaneous Shop,117,0.174107143,0,0.016829262
180,432995,34.034443,-118.264257,8:16,8:17,Other Nightlife,293,0.436011905,0,0.040720796
181,432995,34.034443,-118.264257,8:21,8:22,Theater,449,0.668154762,0,0.061538288
182,432995,34.034443,-118.264257,8:22,8:23,Ski Area,212,0.31547619,0,0.034612465
183,432995,34.034443,-118.264257,8:28,8:29,Turkish Restaurant,670,0.99702381,0,0.092209499
184,432995,34.034443,-118.264257,8:29,8:30,Airport,514,0.764880952,0,0.079820278
185,432995,34.034443,-118.264257,8:30,8:31,Peruvian Restaurant,526,0.782738095,0,0.08107438
186,432995,34.034443,-118.264257,8:31,8:32,Synagogue,83,0.123511905,0,0.011275406
187,432995,34.034443,-118.264257,8:32,8:33,Cuban Restaurant,265,0.788690476,0,0.071311782
188,432995,34.034443,-118.264257,8:33,8:34,Food & Drink Shop,426,0.633928571,0,0.068637651
189,432995,34.034443,-118.264257,8:34,8:35,Middle School,307,0.456845238,0,0.044759363
190,432995,34.034443,-118.264257,8:38,8:39,Automotive Shop,416,0.619047619,0,0.065978872
191,432995,34.034443,-118.264257,8:39,8:40,Cupcake Shop,568,0.845238095,0,0.086922156
192,432995,34.034443,-118.264257,8:42,8:43,Video Store,187,0.27827381,0,0.026315838
193,432995,34.034443,-118.264257,8:43,8:44,Laundry Service,284,0.422619048,0,0.041020285
194,432995,34.034443,-118.264257,8:47,8:48,Latin American Restaurant,303,0.450892857,0,0.045978696
195,432995,34.034443,-118.264257,8:50,8:51,Art Gallery,476,0.708333333,0,0.064033779
196,432995,34.034443,-118.264257,8:53,8:54,Ramen / Noodle House,657,0.977678571,0,0.10272864
197,432995,34.034443,-118.264257,8:54,8:55,Tapas Restaurant,408,0.607142857,0,0.055151439
198,432995,34.034443,-118.264257,8:56,8:57,Italian Restaurant,209,0.311011905,0,0.033633149
199,432995,34.034443,-118.264257,8:57,8:58,Park,576,0.857142857,0,0.080776846
200,432995,34.034443,-118.264257,9:00,9:01,Harbor / Marina,459,0.683035714,0,0.074520954
201,432995,34.034443,-118.264257,9:01,9:02,Fair,555,0.825892857,0,0.088476036
202,432995,34.034443,-118.264257,9:04,9:05,Pet Store,339,1.513392857,0,0.151383426
203,432995,34.034443,-118.264257,9:05,9:06,Burrito Place,375,0.558035714,0,0.056629291
204,432995,34.034443,-118.264257,9:08,9:09,Racetrack,197,0.293154762,0,0.031335383
205,432995,34.034443,-118.264257,9:12,9:13,French Restaurant,249,0.370535714,0,0.036051722
206,432995,34.034443,-118.264257,9:14,9:15,Sushi Restaurant,286,0.425595238,0,0.044055788
207,432995,34.034443,-118.264257,9:21,9:22,Ice Cream Shop,657,0.977678571,0,0.094705733
208,432995,34.034443,-118.264257,9:26,9:27,Cemetery,514,0.764880952,0,0.081510893
209,432995,34.034443,-118.264257,9:35,9:36,Sushi Restaurant,342,0.508928571,0,0.054165328
210,432995,34.034443,-118.264257,9:36,9:37,City,494,0.735119048,0,0.072509703
211,432995,34.034443,-118.264257,9:37,9:38,Fast Food Restaurant,315,0.46875,0,0.04414663
212,432995,34.034443,-118.264257,9:38,9:39,Sporting Goods Shop,334,0.49702381,0,0.050399905
213,432995,34.034443,-118.264257,9:41,9:42,Salon / Barbershop,263,0.391369048,0,0.040983911
214,432995,34.034443,-118.264257,9:44,9:45,Nightlife Spot,463,0.688988095,0,0.069882164
215,432995,34.034443,-118.264257,9:45,9:46,Furniture / Home Store,318,0.473214286,0,0.049624556
216,432995,34.034443,-118.264257,9:46,9:47,Cajun / Creole Restaurant,504,0.75,0,0.075807892
217,432995,34.034443,-118.264257,9:51,9:52,Snack Place,468,0.696428571,0,0.071389183
218,432995,34.034443,-118.264257,9:52,9:53,College Academic Building,401,1.193452381,0,0.110776382
219,432995,34.034443,-118.264257,9:58,9:59,Design Studio,670,0.99702381,0,0.106756099
220,432995,34.034443,-118.264257,10:01,10:02,Ski Area,173,0.257440476,0,0.026708216
221,432995,34.034443,-118.264257,10:03,10:04,Convenience Store,446,0.663690476,0,0.06966343
222,432995,34.034443,-118.264257,10:04,10:05,Community College,497,1.479166667,0,0.1394061
223,432995,34.034443,-118.264257,10:06,10:07,Residential Building (Apartment / Condo),121,0.180059524,0,0.019072842
224,432995,34.034443,-118.264257,10:19,10:20,Performing Arts Venue,188,0.279761905,0,0.027630871
225,432995,34.034443,-118.264257,10:20,10:21,Government Building,639,0.950892857,0,0.095670403
226,432995,34.034443,-118.264257,10:21,10:22,Gift Shop,113,0.168154762,0,0.018304536
227,432995,34.034443,-118.264257,10:24,10:25,Mexican Restaurant,215,0.319940476,0,0.032281175
228,432995,34.034443,-118.264257,10:26,10:27,Historic Site,249,0.370535714,0,0.03832293
229,432995,34.034443,-118.264257,10:27,10:28,Synagogue,395,0.587797619,0,0.054192288
230,432995,34.034443,-118.264257,10:29,10:30,Animal Shelter,646,0.961309524,0,0.094149157
231,432995,34.034443,-118.264257,10:31,10:32,Design Studio,356,0.529761905,0,0.054840967
232,432995,34.034443,-118.264257,10:32,10:33,College Academic Building,400,0.595238095,0,0.05720251
233,432995,34.034443,-118.264257,10:33,10:34,Storage Facility,223,0.331845238,0,0.03126298
234,432995,34.034443,-118.264257,10:34,10:35,Gym / Fitness Center,346,0.514880952,0,0.056479728
235,432995,34.034443,-118.264257,10:35,10:36,Office,582,0.866071429,0,0.08258887
236,432995,34.034443,-118.264257,10:40,10:41,Library,469,0.697916667,0,0.067176215
237,432995,34.034443,-118.264257,10:43,10:44,Outdoors & Recreation,457,0.680059524,0,0.06611894
238,432995,34.034443,-118.264257,10:45,10:46,Soup Place,630,0.9375,0,0.095292183
239,432995,34.034443,-118.264257,10:53,10:54,Market,371,0.552083333,0,0.052329079
240,432995,34.034443,-118.264257,10:56,10:57,Convention Center,240,0.357142857,0,0.037635891
241,432995,34.034443,-118.264257,10:57,10:58,American Restaurant,503,0.748511905,0,0.079413892
242,432995,34.034443,-118.264257,10:59,11:00,Elementary School,236,0.351190476,0,0.035814772
243,432995,34.034443,-118.264257,11:03,11:04,Fair,346,0.514880952,0,0.047884347
244,432995,34.034443,-118.264257,11:04,11:05,Molecular Gastronomy Restaurant,137,0.407738095,0,0.037514061
245,432995,34.034443,-118.264257,11:06,11:07,Moving Target,86,0.12797619,0,0.013037907
246,432995,34.034443,-118.264257,11:07,11:08,Public Art,228,0.339285714,0,0.03602455
247,432995,34.034443,-118.264257,11:08,11:09,Diner,329,0.979166667,0,0.105980521
248,432995,34.034443,-118.264257,11:17,11:18,Distillery,412,1.226190476,0,0.129721554
249,432995,34.034443,-118.264257,11:20,11:21,Spanish Restaurant,144,0.214285714,0,0.022127769
250,432995,34.034443,-118.264257,11:21,11:22,Outdoors & Recreation,201,0.299107143,0,0.028969686
251,432995,34.034443,-118.264257,11:22,11:23,Spiritual Center,354,0.526785714,0,0.047416578
252,432995,34.034443,-118.264257,11:24,11:25,Gas Station / Garage,671,0.998511905,0,0.103177764
253,432995,34.034443,-118.264257,11:29,11:30,Café,629,0.936011905,0,0.098558954
254,432995,34.034443,-118.264257,11:30,11:31,Plaza,126,0.1875,0,0.019332066
255,432995,34.034443,-118.264257,11:32,11:33,Sculpture Garden,395,1.175595238,0,0.107278871
256,432995,34.034443,-118.264257,11:35,11:36,Science Museum,206,0.306547619,0,0.031374913
257,432995,34.034443,-118.264257,11:37,11:38,Seafood Restaurant,267,0.794642857,0,0.086638159
258,432995,34.034443,-118.264257,11:42,11:43,Video Game Store,362,0.538690476,0,0.05499861
259,432995,34.034443,-118.264257,11:46,11:47,Neighborhood,667,0.992559524,0,0.100745479
260,432995,34.034443,-118.264257,11:47,11:48,Rest Area,645,0.959821429,0,0.098322902
261,432995,34.034443,-118.264257,11:51,11:52,Mosque,481,1.431547619,0,0.145563756
262,432995,34.034443,-118.264257,11:52,11:53,Community College,548,0.81547619,0,0.085163583
263,432995,34.034443,-118.264257,12:00,12:01,Garden Center,387,0.575892857,0,0.05944905
264,432995,34.034443,-118.264257,12:01,12:02,Internet Cafe,349,0.519345238,0,0.048682569
265,432995,34.034443,-118.264257,12:02,12:03,Vegetarian / Vegan Restaurant,546,0.8125,0,0.081102583
266,432995,34.034443,-118.264257,12:03,12:04,Mall,134,0.398809524,0,0.039724953
267,432995,34.034443,-118.264257,12:04,12:05,Deli / Bodega,193,0.287202381,0,0.029629161
268,432995,34.034443,-118.264257,12:06,12:07,Vegetarian / Vegan Restaurant,458,0.681547619,0,0.063695866
269,432995,34.034443,-118.264257,12:09,12:10,Financial or Legal Service,599,0.891369048,0,0.093909567
270,432995,34.034443,-118.264257,12:12,12:13,Neighborhood,145,0.21577381,0,0.020532809
271,432995,34.034443,-118.264257,12:13,12:14,Spanish Restaurant,652,0.970238095,0,0.087827582
272,432995,34.034443,-118.264257,12:22,12:23,College Stadium,178,0.264880952,0,0.026490759
273,432995,34.034443,-118.264257,12:24,12:25,City,429,0.638392857,0,0.069444961
274,432995,34.034443,-118.264257,12:26,12:27,Thai Restaurant,315,1.875,0,0.178958822
275,432995,34.034443,-118.264257,12:27,12:28,Zoo,165,0.245535714,0,0.023146634
276,432995,34.034443,-118.264257,12:32,12:33,Brazilian Restaurant,328,0.976190476,0,0.098263348
277,432995,34.034443,-118.264257,12:33,12:34,Ethiopian Restaurant,360,0.535714286,0,0.048560988
278,432995,34.034443,-118.264257,12:34,12:35,Clothing Store,281,0.418154762,0,0.037758684
279,432995,34.034443,-118.264257,12:40,12:41,Hobby Shop,260,0.773809524,0,0.08148485
280,432995,34.034443,-118.264257,12:41,12:42,Bike Shop,396,1.767857143,0,0.166966577
281,432995,34.034443,-118.264257,12:42,12:43,Fraternity House,384,0.571428571,0,0.054418641
282,432995,34.034443,-118.264257,12:43,12:44,Beer Garden,259,0.385416667,0,0.036484319
283,432995,34.034443,-118.264257,12:44,12:45,Pizza Place,652,0.970238095,0,0.098823479
284,432995,34.034443,-118.264257,12:46,12:47,Pet Store,257,0.764880952,0,0.082017033
285,432995,34.034443,-118.264257,12:50,12:51,Design Studio,448,1.333333333,0,0.121989884
286,432995,34.034443,-118.264257,12:54,12:55,Community College,337,0.501488095,0,0.049215878
287,432995,34.034443,-118.264257,12:56,12:57,Pizza Place,203,0.604166667,0,0.061276265
288,432995,34.034443,-118.264257,13:02,13:03,Cemetery,598,0.889880952,0,0.081351916
289,432995,34.034443,-118.264257,13:03,13:04,Ethiopian Restaurant,238,1.0625,0,0.105954698
290,432995,34.034443,-118.264257,13:05,13:06,Scenic Lookout,344,0.511904762,0,0.053809585
291,432995,34.034443,-118.264257,13:14,13:15,Stadium,452,1.345238095,0,0.138648806
292,432995,34.034443,-118.264257,13:18,13:19,Train Station,109,0.162202381,0,0.01651226
293,432995,34.034443,-118.264257,13:19,13:20,Financial or Legal Service,526,0.782738095,0,0.071839157
